i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y
79 0.8572268486022949 -0.0016490340232849438 -0.0016490340537965082 0.0 0.0015547242157960706 0.0005690685339476132 -0.0021237927497436836 0.01098635927996551 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
80 0.8681771755218506 -0.001649034023284931 -0.0016490340415918697 0.0 0.001554724204289427 0.0005690685397009246 -0.0021237927439903513 0.01098635927996551 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
81 0.8789331912994385 -0.0016490340232849234 -0.0016490340342690867 0.0 0.0015547241973854408 0.0005690685431529115 -0.002123792740538352 0.01098635927996551 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
82 0.8897268772125244 -0.0034398610649055148 -0.0016490340298754168 0.0 0.0015547241932430491 0.0020312727017402343 -0.003585996894983284 0.01098635927996551 0.02197271855993102 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.02197271855993102 0.0 8.6 0.0 0.02 8.6 0.0 0.02
83 0.9005577564239502 -0.0033831438575712383 -0.0016490340272392147 0.0 0.001554724190757614 0.001984963297114746 -0.0035396874878723607 0.01098635927996551 0.02197271855993102 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.02197271855993102 0.0 8.6 0.0 0.02 8.6 0.0 0.02
84 0.9113185405731201 -0.0033491135331706725 -0.0016490340256574937 0.0 0.0015547241892663532 0.0019571776543394533 -0.0035119018436058063 0.01098635927996551 0.02197271855993102 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.02197271855993102 0.0 8.6 0.0 0.02 8.6 0.0 0.02
85 0.92221999168396 -0.003328695338530333 -0.001649034024708461 0.0 0.0015547241883715965 0.0019405062686742775 -0.003495230457045874 0.01098635927996551 0.02197271855993102 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.02197271855993102 0.0 8.6 0.0 0.02 8.6 0.0 0.02
86 0.9355854988098145 -0.0033164444217461293 -0.0016490340241390414 0.0 0.0015547241878347425 0.001930503437275172 -0.0034852276251099144 0.01098635927996551 0.02197271855993102 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.02197271855993102 0.0 8.6 0.0 0.02 8.6 0.0 0.02
87 0.9466648101806641 -0.003309093871675607 -0.0016490340237973896 0.0 0.0015547241875126302 0.0019245017384357088 -0.0034792259259483396 0.01098635927996551 0.02197271855993102 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.02197271855993102 0.0 8.6 0.0 0.02 8.6 0.0 0.02
88 0.957730770111084 -0.003304683541633294 -0.0016490340235923986 0.0 0.0015547241873193629 0.001920900719132031 -0.0034756249064513936 0.01098635927996551 0.02197271855993102 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.02197271855993102 0.0 8.6 0.0 0.02 8.6 0.0 0.02
89 0.9690375328063965 -0.003302037343607906 -0.001649034023469404 0.0 0.0015547241872034025 0.001918740107549824 -0.0034734642947532265 0.01098635927996551 0.02197271855993102 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.02197271855993102 0.0 8.6 0.0 0.02 8.6 0.0 0.02
90 0.979893684387207 -0.003300449624792673 -0.001649034023395607 0.0 0.0015547241871338257 0.0019174437406005 -0.003472167927734326 0.01098635927996551 0.02197271855993102 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.02197271855993102 0.0 8.6 0.0 0.02 8.6 0.0 0.02
91 0.9913179874420166 -0.003299496993503533 -0.001649034023351329 0.0 0.0015547241870920803 0.0019166659204309057 -0.0034713901075229857 0.01098635927996551 0.02197271855993102 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.02197271855993102 0.0 8.6 0.0 0.02 8.6 0.0 0.02
