i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 
88 0.4764671325683594 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
89 0.4819066524505615 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
90 0.487346887588501 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
91 0.49283766746520996 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
92 0.49819135665893555 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
93 0.5035712718963623 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
94 0.5089354515075684 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
95 0.514291524887085 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
96 0.5197441577911377 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
97 0.5251262187957764 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
98 0.5305023193359375 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
99 0.5358648300170898 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
100 0.5411734580993652 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
101 0.5465657711029053 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
102 0.5518836975097656 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
103 0.5572898387908936 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
104 0.5627143383026123 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
105 0.5680882930755615 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
106 0.5734531879425049 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
107 0.5787801742553711 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
108 0.5842685699462891 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
109 0.5896286964416504 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
110 0.5949215888977051 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
111 0.6003177165985107 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
112 0.6056618690490723 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
113 0.611013650894165 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
114 0.616387128829956 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
115 0.6217710971832275 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
116 0.6271853446960449 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
117 0.6325562000274658 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.5918524265289307 0 0 0 0 0 0 
118 0.6379706859588623 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.5918524265289307 0 0 0 0 0 0 
119 0.6433343887329102 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.5918524265289307 0 0 0 0 0 0 
120 0.6486170291900635 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.5918524265289307 0 0 0 0 0 0 
121 0.6539962291717529 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.5918524265289307 0 0 0 0 0 0 
122 0.6593589782714844 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.5918524265289307 0 0 0 0 0 0 
123 0.6646625995635986 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.5918524265289307 0 0 0 0 0 0 
124 0.6700112819671631 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.5918524265289307 0 0 0 0 0 0 
125 0.6754074096679688 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.5918524265289307 0 0 0 0 0 0 
126 0.6808488368988037 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.5918524265289307 0 0 0 0 0 0 
127 0.6867203712463379 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
128 0.6922399997711182 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
129 0.6978640556335449 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
130 0.703352689743042 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
131 0.7087459564208984 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
132 0.7141187191009521 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
133 0.7195448875427246 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
134 0.7249431610107422 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
135 0.7304551601409912 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
136 0.7359192371368408 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
137 0.7415120601654053 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
138 0.7477316856384277 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
139 0.7531139850616455 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
140 0.7590122222900391 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
141 0.7651383876800537 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
142 0.7708337306976318 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
143 0.77652907371521 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
144 0.7825212478637695 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
145 0.7884676456451416 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
146 0.7940959930419922 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
147 0.7997686862945557 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
148 0.8062877655029297 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
149 0.8129832744598389 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
150 0.8187432289123535 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
151 0.82570481300354 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
152 0.832007646560669 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
153 0.8378784656524658 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
154 0.8437998294830322 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
155 0.8499965667724609 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
156 0.8564016819000244 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
157 0.8625779151916504 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
158 0.8685755729675293 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
159 0.8750314712524414 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
160 0.8805546760559082 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
161 0.8863027095794678 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
162 0.8920097351074219 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
163 0.8976233005523682 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
164 0.9038195610046387 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
165 0.9107761383056641 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
166 0.9163222312927246 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
167 0.92183518409729 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
168 0.9273042678833008 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
169 0.9330322742462158 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
