i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 theta_x_dot theta_y_dot e_x e_y abort K_x_0 K_x_1 K_y_0 K_y_1 Q_scale R_scale
582 6.320458889007568 -0.03656758500105738 -0.96 0.0 0.42269103183324297 0.48240564808553765 -0.9050966799187807 -0.26367187566723177 2.7136230581886647 0.7141099381031731 -0.5161187930897517 0.8751579535000138 -0.5203262832508095 0.29751733567089234 -5.652829377746954 6.54538138475963 0.04417869844309281 0.4217825251787494 0.26367187566723177 -2.7136230581886647 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
583 6.331186771392822 0.28066031117234597 -0.96 0.0 0.6817065244337225 0.22339015548505825 -0.9050966799187807 -0.3845214008600292 2.9882811864141563 0.538328189623725 -0.5133137996490466 0.8190580846859103 -0.4558114341145905 0.0 -5.980189061401891 6.834501784459304 -0.0039548324235641336 0.42673921976986523 0.3845214008600292 -2.9882811864141563 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
584 6.341968297958374 0.64934689500423 -0.96 0.0 0.96 -0.07764117964759851 -0.9050966799187807 -0.5493163631726887 3.251952955359682 0.3405805527735158 -0.5133137996490466 0.7629582158718069 -0.39129658497837155 -0.529144206886469 -5.820586275751158 6.878874689524097 -0.05650892663000079 0.42674341764746043 0.5493163631726887 -3.251952955359682 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
585 6.352715730667114 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -0.7360840440452793 3.504638365025243 0.09887381842510458 -0.5203262832508095 0.7040533536169983 -0.3169642587996845 -1.173146566585183 -5.279159549633324 7.038879399511098 -0.105848579918389 0.4234389437338648 0.7360840440452793 -3.504638365025243 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
586 6.363460302352905 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -1.0656737552271869 3.823241930370596 -0.3076180598390343 -0.5497787143782138 0.6325260208790164 -0.20756951461218276 -3.2080399093113843 -3.2080399093113843 6.99935980213393 -0.19204785076247083 0.44254123353102526 1.0656737552271869 -3.823241930370596 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
587 6.374114513397217 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -1.3073730190561934 3.9990236788500444 -0.6152361196780686 -0.5834386356666759 0.6044760864719647 -0.14024967203525862 -4.047266040739088 -1.9045957838772178 7.380308662524219 -0.23281601817514347 0.4116169485190453 1.3073730190561934 -3.9990236788500444 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
588 6.384756565093994 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -1.5820313607250964 4.14184549571595 -0.9777825608223454 -0.6283185307179586 0.5876461258277336 -0.06311235241586638 -4.963040017900492 -0.8758305913942045 7.006644731153636 -0.27633840585244956 0.3761378954790653 1.5820313607250964 -4.14184549571595 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
589 6.3954222202301025 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -1.8786622075105188 4.229736369955674 -1.3732914949011037 -0.6774059159302991 0.5820361389463233 0.005609986881410345 -5.5046799604282395 0.23933391132296694 7.180017339689008 -0.3180740862329636 0.32965213586461295 1.8786622075105188 -4.229736369955674 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
590 6.406104803085327 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -2.1862792001324953 4.284668166355502 -1.8127458660997242 -0.7349082814647552 0.5848411323870284 0.08134480978045 -6.008247884007407 0.8583211262867725 7.438783094485361 -0.3549722214725341 0.28167051247672875 2.1862792001324953 -4.284668166355502 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
591 6.416789531707764 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -2.3510741624451548 4.306640884915432 -2.0434559958844147 -0.7938131437195638 0.5932561127091439 0.1528721425184319 -6.271812420656795 1.194630937267961 7.167785623607767 -0.33772568873962233 0.23250281675349263 2.3510741624451548 -4.306640884915432 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
592 6.4275221824646 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -2.8894044865029955 4.306640884915432 -2.7685625385513086 -0.8583279928557828 0.6072810799126699 0.22720446869711897 -6.354525446188799 1.3238594679559998 7.4136130205535995 -0.44556955918075836 0.1860022534027941 2.8894044865029955 -4.306640884915432 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
593 6.438308000564575 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -3.273925780641319 4.284668166355502 -3.273928235240552 -0.9242453387123543 0.6227085438365483 0.30153679487580604 -6.84951244362159 1.6533305898396942 7.321892612147217 -0.48083111681261664 0.14169460936769304 3.273925780641319 -4.284668166355502 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
594 6.44907021522522 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -3.867187474212164 4.207763651395743 -4.053963159212688 -1.030835089459151 0.6507584782436 0.4165415259447181 -6.730638130066401 1.9631027879360337 7.5719678963247015 -0.5774059341690548 0.08837066585873893 3.867187474212164 -4.207763651395743 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
595 6.459702491760254 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -4.284668273077207 4.130859136435984 -4.581294744272693 -1.1009599254767803 0.6717959290488889 0.49227634884375776 -7.266822385246561 2.034710267869037 7.266822385246561 -0.5989838445636949 0.045448752617029714 4.284668273077207 -4.130859136435984 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
596 6.470921993255615 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -4.7241213636153585 4.01001003813001 -5.108639989711037 -1.1738897549351146 0.6942358765745302 0.5680111717427974 -7.300107851096119 2.044030198306913 7.592112165139963 -0.6156911120153639 -0.0011794521008006431 4.7241213636153585 -4.01001003813001 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
597 6.481640338897705 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -5.163574454153509 3.845214648930527 -5.646968179334762 -1.251027074554507 0.7180783208205241 0.6465509880825422 -7.164734203589202 2.0897141427135173 7.4632647954054185 -0.6359029609087731 -0.05469999507413026 5.163574454153509 -3.845214648930527 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
598 6.492323875427246 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -5.6140139039716255 3.636474676384829 -6.163330480587726 -1.3225544072924889 0.7405182683461655 0.7208833142612293 -7.6369925049938825 2.4635459693528654 7.390637908058595 -0.6558988567093434 -0.11196364934324271 5.6140139039716255 -3.636474676384829 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
599 6.502972841262817 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -6.031494702836669 3.394775625999234 -6.66869617727697 -1.3996917269118812 0.7657632093125121 0.7994231306009741 -7.725617527365942 2.3771130853433666 7.428478391698021 -0.6613431521563344 -0.16866894576097263 6.031494702836669 -3.394775625999234 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
600 6.513708114624023 0.96 -0.96 0.0 0.96 -0.33128837773122644 -0.9050966799187807 -6.448974647928066 3.1311034301668847 -7.163092590159173 -1.474024053090568 0.7896056535585061 0.8737554567796613 -7.5606292202295755 2.326347452378331 7.5606292202295755 -0.6648606104974495 -0.22069500354528676 6.448974647928066 -3.1311034301668847 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
601 6.524435758590698 0.96 -0.6188509499478334 0.0 0.96 -0.4921075821893837 -0.5834582710024663 -6.844482728233178 2.845458942661428 -7.646492398477655 -1.555368862871018 0.8162530912452052 0.9551002665601112 -7.745308990902133 2.3831719972006566 7.745308990902133 -0.6602458909205141 -0.26925849435752036 6.844482728233178 -2.845458942661428 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
602 6.5352091789245605 0.96 0.1897895600972765 0.0 0.6943690610618194 -0.8733043743194142 0.17893531325759462 -7.3828126254041955 2.37304677428338 -8.327639843646347 -1.66476360705852 0.8527180059743724 1.0630925140272602 -7.575415326918421 2.612212181696007 7.575415326918421 -0.703316694072648 -0.369083584652146 7.3828126254041955 -2.37304677428338 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
603 6.545842885971069 0.96 0.605749551786668 0.0 0.49828364051124036 -0.96 0.5711061543587528 -7.701416190749549 2.0324704903780955 -8.745114666095866 -1.7419009266779122 0.8793654436610716 1.1388273369263 -7.633709626543732 2.895545030757967 7.1072468936786475 -0.6670426917244942 -0.40685548806411365 7.701416190749549 -2.0324704903780955 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
604 6.556491136550903 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -7.976074318975041 1.669921914799703 -9.129640655989244 -1.820440743017657 0.9102203715088285 1.2089521729439294 -7.16820671311685 3.7076931274742324 5.685129462127157 -0.6238834408091799 -0.44461339936122657 7.976074318975041 -1.669921914799703 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
605 6.567108631134033 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -8.206787010080669 1.274413834494591 -9.470221208762759 -1.8947730691963438 0.9508927763990533 1.2622470483173276 -6.554999277207803 4.369999518138536 3.8237495783712188 -0.5749399363125663 -0.4856906633634397 8.206787010080669 -1.274413834494591 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
606 6.577744722366333 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -8.404541477120048 0.878906181076302 -9.755859719852692 -1.9620929117732682 0.999980161611394 1.2973094663261422 -5.935237919393086 5.341714127453777 1.7805713758179258 -0.5248195387798555 -0.518287290067012 8.404541477120048 -0.878906181076302 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
607 6.588451147079468 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -8.55834965326592 0.4504394498181165 -9.997566454201104 -2.016790283867019 1.050470043544087 1.3113344335296682 -5.515436540712417 5.778076375984437 0.0 -0.4699498961452334 -0.5541784995507734 8.55834965326592 -0.4504394498181165 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
608 6.599161624908447 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -8.646240527505643 0.04394543711986204 -10.217279979422074 -2.0700851592404175 1.1093749057988955 1.3085294400889629 -4.695335521769622 6.33870295438899 -1.643367432619368 -0.40461533044667264 -0.5758736696802571 8.646240527505643 -0.04394543711986204 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
609 6.609858989715576 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -8.371582399280152 -0.5493164698943945 -10.415041276650623 -2.119172544452758 1.1766947483758197 1.2888944860040266 -4.250848819011678 6.234578267883794 -2.833899212674452 -0.23424993912768444 -0.6538944722330067 8.371582399280152 0.5493164698943945 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
610 6.620863199234009 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -8.07495155249473 -1.32934584433783 -10.645751406435314 -2.1808824001482714 1.274869518800501 1.2398071007916862 -3.566425226580003 6.8356483509450054 -3.8636273287950034 -0.09305799752884956 -0.7712000099452445 8.07495155249473 1.32934584433783 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
611 6.631529808044434 0.96 0.96 0.0 0.33128837773122644 -0.96 0.9050966799187807 -8.07495155249473 -1.7028809926395996 -10.75562182942414 -2.217347314877439 1.3435918580977777 1.1977321991811087 -3.483742629731119 6.967485259462238 -4.6449901729748255 -0.07444639802307966 -0.7392243579450175 8.07495155249473 1.7028809926395996 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
