i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y cost autotune steer_active
76 0.9788222312927246 0.001653925026255507 0.0016531723039779765 0.0 0.0005711112313066771 -0.0021297370267901643 0.0015586257954834874 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
77 0.9903380870819092 0.0016542998667034678 0.00165354714078473 0.0 0.000571240587485568 -0.00213021978249958 0.0015589791950140124 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
78 1.0015869140625 0.001654666523473054 0.001653913793992605 0.0 0.0005713671195045543 -0.002130691998478076 0.001559324878973522 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
79 1.012845754623413 0.001655033996278945 0.0016542812632288583 0.0 0.0005714939331349267 -0.0021311652654268914 0.0015596713322919647 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
80 1.0241754055023193 0.0016554047176865082 0.0016546519810352266 0.0 0.0005716218678468191 -0.002131642716238504 0.0015600208483916842 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
81 1.0363411903381348 0.0016558012880155102 0.001655048547511937 0.0 0.0005717587229346311 -0.002132153457786146 0.0015603947348515152 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
82 1.0484967231750488 0.0016561976018759593 0.0016554448575225853 0.0 0.0005718954895160077 -0.0021326638690288315 0.0015607683795128239 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
83 1.0604143142700195 0.0016565855766225467 0.0016558328285003786 0.0 0.0005720293782972152 -0.002133163540355774 0.001561134162058559 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
84 1.0724642276763916 0.0016569796599837615 0.00165622690803346 0.0 0.0005721653751408018 -0.0021336710789462525 0.0015615057038054505 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
85 1.0849626064300537 0.0016573871418839301 0.0016566343859753417 0.0 0.0005723059957751539 -0.0021341958734684553 0.0015618898776933016 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
86 1.0975220203399658 0.001657795556397019 0.0016570427965210842 0.0 0.0005724469382510903 -0.0021347218690995957 0.0015622749308485053 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
87 1.1095635890960693 0.0016581883574154686 0.001657435593723857 0.0 0.0005725824925624981 -0.0021352277561652857 0.0015626452636027877 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
88 1.1220848560333252 0.0016585969817664646 0.0016578442141054683 0.0 0.0005727235074527914 -0.0021357540220459364 0.0015630305145931454 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
89 1.1344692707061768 0.0016589988369020146 0.0016582460653373897 0.0 0.0005728621863095828 -0.0021362715698775544 0.0015634093835679719 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
90 1.146275520324707 0.0016593852883808322 0.0016586325130622103 0.0 0.0005729955494162022 -0.0021367692793932335 0.0015637737299770314 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
91 1.1584441661834717 0.0016597814701211175 0.0016590286909539786 0.0 0.0005731322704033541 -0.0021372795204788195 0.0015641472500754657 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
92 1.1702919006347656 0.0016601719706943639 0.0016594191877338947 0.0 0.0005732670308388533 -0.002137782444809132 0.0015645154139702791 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
93 1.184213638305664 0.001660619780331558 0.0016598669930210574 0.0 0.0005734215684397261 -0.0021383591772836104 0.0015649376088438843 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
94 1.1957557201385498 0.0016609962761674523 0.0016602434851996637 0.0 0.0005735514958874298 -0.002138844064961389 0.0015652925690739594 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
95 1.207308292388916 0.0016613749947308064 0.0016606222000841385 0.0 0.0005736821903909101 -0.0021393318152821343 0.001565649624891224 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
96 1.219294548034668 0.0016617651999766279 0.0016610124015394988 0.0 0.0005738168489099072 -0.0021398343592612832 0.0015660175103513762 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
97 1.23097562789917 0.001662144726804513 0.001661391924680653 0.0 0.0005739478223427609 -0.0021403231505431066 0.0015663753282003459 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
