i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 enc_pos_1 enc_pos_2 enc_pos_3 
92 0.49770689010620117 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.04966263100504875 -2.8915538787841797 0 0 0 0 0 0 0 -3088 3140 
93 0.5032494068145752 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05062136799097061 -2.8921291828155518 0 0 0 0 0 0 0 -3130 3182 
94 0.5093913078308105 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05119660869240761 -2.892512559890747 0 0 0 0 0 0 0 -3173 3224 
95 0.5151939392089844 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05119660869240761 -2.892512559890747 0 0 0 0 0 0 0 -3222 3273 
96 0.5214846134185791 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.05081311613321304 -2.8928961753845215 0 0 0 0 0 0 0 -3301 3353 
97 0.5269894599914551 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.05081311613321304 -2.893087863922119 0 0 0 0 0 0 0 -3344 3395 
98 0.5328989028930664 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05158010497689247 -2.893087863922119 0 0 0 0 0 0 0 -3385 3436 
99 0.538482666015625 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.052155349403619766 -2.8928961753845215 0 0 0 0 0 0 0 -3428 3478 
100 0.544121265411377 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.05273059010505676 -2.8928961753845215 0 0 0 0 0 0 0 -3470 3520 
101 0.5497095584869385 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.05349758267402649 -2.8927042484283447 0 0 0 0 0 0 0 -3511 3561 
102 0.555279016494751 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.053881075233221054 -2.892512559890747 0 0 0 0 0 0 0 -3558 3607 
103 0.5611050128936768 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.05349758267402649 -2.8923208713531494 0 0 0 0 0 0 0 -3640 3689 
104 0.566455602645874 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126636505126953 -0.05330583453178406 -2.8923208713531494 0 0 0 0 0 0 0 -3679 3728 
105 0.5718040466308594 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126636505126953 -0.053114086389541626 -2.8923208713531494 0 0 0 0 0 0 0 -3721 3770 
106 0.5771660804748535 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126636505126953 -0.05273059010505676 -2.8923208713531494 0 0 0 0 0 0 0 -3763 3812 
107 0.5824885368347168 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126636505126953 -0.0523470975458622 -2.8923208713531494 0 0 0 0 0 0 0 -3805 3853 
108 0.5878524780273438 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126636505126953 -0.052155349403619766 -2.8923208713531494 0 0 0 0 0 0 0 -3847 3896 
109 0.5932223796844482 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.052155349403619766 -2.8923208713531494 0 0 0 0 0 0 0 -3896 3945 
110 0.5986440181732178 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1262528896331787 -0.0523470975458622 -2.8923208713531494 0 0 0 0 0 0 0 -3938 3986 
111 0.6046245098114014 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.052155349403619766 -2.892512559890747 0 0 0 0 0 0 0 -3977 4025 
112 0.6100282669067383 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.051963601261377335 -2.892512559890747 0 0 0 0 0 0 0 -4017 4064 
113 0.6156682968139648 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.051004864275455475 -2.8921291828155518 0 0 0 0 0 0 0 -4099 4147 
114 0.6211028099060059 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05138835683465004 -2.8921291828155518 0 0 0 0 0 0 0 -4141 4189 
115 0.6265087127685547 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.0517718531191349 -2.891937255859375 0 0 0 0 0 0 0 -4183 4231 
116 0.63185715675354 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.051963601261377335 -2.8917455673217773 0 0 0 0 0 0 0 -4228 4277 
117 0.6372146606445312 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05158010497689247 -2.891937255859375 0 0 0 0 0 0 0 -4271 4319 
