i t roll_deg pitch_deg yaw_deg
389 3.9654479026794434 0.19775393343085026 0.16479496231265953 2.0654287144443457
390 3.9755947589874268 0.19775393343085026 0.16479496231265953 2.0654287144443457
391 3.985836982727051 0.19775393343085026 0.16479496231265953 2.0654287144443457
392 3.99599552154541 0.19775393343085026 0.16479496231265953 2.0654287144443457
393 4.006257772445679 0.19775393343085026 0.16479496231265953 2.0654287144443457
394 4.0163960456848145 0.19775393343085026 0.16479496231265953 2.0654287144443457
395 4.026573419570923 0.19775393343085026 0.16479496231265953 2.0654287144443457
396 4.036715507507324 0.19775393343085026 0.16479496231265953 2.0654287144443457
397 4.046854019165039 0.19775393343085026 0.16479496231265953 2.0654287144443457
398 4.057016134262085 0.19775393343085026 0.16479496231265953 2.0654287144443457
399 4.06715726852417 0.19775393343085026 0.16479496231265953 2.0654287144443457
400 4.077290773391724 0.19775393343085026 0.16479496231265953 2.0654287144443457
401 4.087424278259277 0.19775393343085026 0.16479496231265953 2.0654287144443457
402 4.097535610198975 0.19775393343085026 0.16479496231265953 2.0654287144443457
403 4.107645511627197 0.19775393343085026 0.16479496231265953 2.0654287144443457
404 4.117758274078369 0.19775393343085026 0.16479496231265953 2.0654287144443457
405 4.1278769969940186 0.19775393343085026 0.16479496231265953 2.0654287144443457
406 4.13798713684082 0.19775393343085026 0.16479496231265953 2.0654287144443457
407 4.148092746734619 0.19775393343085026 0.16479496231265953 2.0654287144443457
408 4.158188819885254 0.19775393343085026 0.16479496231265953 2.0654287144443457
