i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z theta_d_x theta_d_y phi_x phi_y dphi_x dphi_y psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y p_x i_x d_x p_y i_y d_y
51 0.6944594383239746 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
52 0.7061107158660889 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
53 0.717789888381958 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
54 0.729527473449707 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
55 0.7409083843231201 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
56 0.7522549629211426 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
57 0.7636575698852539 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
58 0.7757148742675781 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
59 0.7874107360839844 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
60 0.7991657257080078 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
61 0.8106317520141602 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
62 0.8220784664154053 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
63 0.8334395885467529 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
64 0.8448836803436279 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
65 0.8566172122955322 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
66 0.8680882453918457 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
67 0.8797948360443115 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
68 0.8912041187286377 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
69 0.903003454208374 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
70 0.9143917560577393 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
71 0.9257540702819824 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
72 0.9371252059936523 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
73 0.948760986328125 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
74 0.960132360458374 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
75 0.9715218544006348 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
76 0.9832258224487305 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
77 0.994624137878418 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
78 1.0060534477233887 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
